"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 17:50:22 GMT 2023","Sun Oct 15 17:50:25 GMT 2023","2925","tests","test_github","","","","test_github_with_decorator_allure",""
"skipped","Sun Oct 15 17:50:25 GMT 2023","Sun Oct 15 17:50:25 GMT 2023","0","tests","test_steps","","","","test_decorator_steps",""
"passed","Sun Oct 15 17:50:13 GMT 2023","Sun Oct 15 17:50:13 GMT 2023","1","tests","test_attachments","","","","test_attachments",""
"skipped","Sun Oct 15 17:50:25 GMT 2023","Sun Oct 15 17:50:25 GMT 2023","0","tests","test_steps","","","","test_dynamic_steps",""
"passed","Sun Oct 15 17:50:13 GMT 2023","Sun Oct 15 17:50:19 GMT 2023","5716","tests","test_github","","","","test_gihub_wihtout_allure",""
"skipped","Sun Oct 15 17:50:25 GMT 2023","Sun Oct 15 17:50:25 GMT 2023","0","tests","test_labels","","","","test_dynamic_labels",""
"skipped","Sun Oct 15 17:50:25 GMT 2023","Sun Oct 15 17:50:25 GMT 2023","0","tests","test_selene","","","","test_github",""
"skipped","Sun Oct 15 17:50:25 GMT 2023","Sun Oct 15 17:50:25 GMT 2023","0","tests","test_labels","","","","test_decorator_labels",""
"passed","Sun Oct 15 17:50:19 GMT 2023","Sun Oct 15 17:50:22 GMT 2023","2769","tests","test_github","","","","test_gihub_wiht_allure_step",""
"skipped","Sun Oct 15 17:50:25 GMT 2023","Sun Oct 15 17:50:25 GMT 2023","0","tests","test_labels","","","","test_no_labels",""
